feature,importance
fp_222,20.139211654663086
col11,20.11583709716797
fp_280,20.06293487548828
fp_921,19.78048324584961
fp_779,19.777297973632812
fp_425,19.767911911010742
fp_91,19.589073181152344
fp_220,19.09176254272461
fp_957,18.965049743652344
fp_518,18.965038299560547
fp_403,18.964588165283203
fp_199,18.939701080322266
fp_477,18.855478286743164
fp_302,18.66797637939453
fp_575,18.528583526611328
fp_776,18.517833709716797
fp_768,18.343473434448242
fp_358,18.30693817138672
fp_944,18.30302619934082
fp_933,18.2998104095459
fp_928,18.27463150024414
fp_57,18.211854934692383
fp_978,18.027292251586914
fp_369,17.826496124267578
fp_334,17.484325408935547
fp_682,17.45781707763672
fp_923,17.061256408691406
fp_478,16.92919158935547
fp_198,16.79860496520996
fp_991,16.442773818969727
fp_539,16.42673683166504
fp_653,16.412839889526367
fp_51,16.399044036865234
fp_822,16.21249008178711
fp_309,16.175222396850586
fp_689,16.158584594726562
fp_750,16.155553817749023
fp_942,15.96615219116211
fp_751,15.896812438964844
fp_422,15.889307975769043
fp_861,15.825967788696289
fp_363,15.82593822479248
fp_379,15.80025577545166
fp_380,15.696798324584961
fp_664,15.676277160644531
fp_854,15.646746635437012
fp_541,15.492244720458984
fp_16,15.415611267089844
col378,15.37213134765625
col807,15.355962753295898
fp_817,15.296304702758789
fp_898,15.119534492492676
fp_98,15.011240005493164
fp_688,14.996850967407227
fp_296,14.957117080688477
fp_499,14.8921480178833
fp_240,14.87030029296875
fp_581,14.733990669250488
fp_86,14.731082916259766
fp_953,14.706145286560059
fp_281,14.676336288452148
fp_206,14.368749618530273
fp_791,14.259986877441406
fp_70,14.180367469787598
fp_183,13.978952407836914
fp_925,13.870723724365234
fp_754,13.845656394958496
fp_1002,13.669588088989258
fp_808,13.591917037963867
fp_399,13.482161521911621
fp_670,13.264131546020508
fp_501,13.072473526000977
fp_748,13.002375602722168
fp_825,12.892234802246094
fp_344,12.873430252075195
fp_331,12.792312622070312
fp_771,12.70286750793457
fp_21,12.688813209533691
fp_586,12.610878944396973
fp_657,12.47700023651123
fp_470,12.414790153503418
fp_253,12.388786315917969
fp_150,12.299304962158203
fp_372,12.2349214553833
fp_412,12.079201698303223
fp_720,12.076783180236816
fp_445,11.762696266174316
col81,11.628623962402344
fp_740,11.073040962219238
fp_321,10.50365924835205
fp_973,9.823948860168457
fp_420,9.73876953125
fp_865,9.566510200500488
fp_466,9.394801139831543
fp_752,8.259297370910645
fp_368,8.24541187286377
col776,8.08401107788086
col395,6.8401970863342285
fp_658,6.463065147399902
